date,ticker,name,peer_group,close_price,daily_return,simulated_esg_score
2023-09-27,AAPL,Apple Inc.,,169.56,0.0,42.35
2023-09-27,ACN,Accenture plc,,309.38,0.0,13.77
2023-09-27,ADP,"Automatic Data Processing, Inc.",,237.21,0.0,24.31
2023-09-27,AMAT,"Applied Materials, Inc.",,134.04,0.0,47.64
2023-09-27,AMZN,"Amazon.com, Inc.",,125.98,0.0,61.09
2023-09-27,AVGO,Broadcom Inc.,,80.44,0.0,80.96
2023-09-27,BA,The Boeing Company,,195.46,0.0,27.4
2023-09-27,BAC,Bank of America Corporation,,26.53,0.0,55.2
2023-09-27,C,Citigroup Inc.,,38.85,0.0,65.1
2023-09-27,CME,CME Group Inc.,,191.33,0.0,31.71
2023-09-27,CSCO,"Cisco Systems, Inc.",,51.54,0.0,15.7
2023-09-27,DIS,The Walt Disney Company,,79.27,0.0,29.11
2023-09-27,ECL,Ecolab Inc.,,166.2,0.0,48.04
2023-09-27,ETN,Eaton Corporation plc,,211.49,0.0,42.65
2023-09-27,FCX,Freeport-McMoRan Inc.,,36.06,0.0,51.55
2023-09-27,GE,GE Aerospace,,88.01,0.0,90.55
2023-09-27,GILD,"Gilead Sciences, Inc.",,72.53,0.0,31.4
2023-09-27,GM,General Motors Company,,32.0,0.0,58.01
2023-09-27,HON,Honeywell International Inc.,,183.78,0.0,36.67
2023-09-27,IBM,International Business Machines Corporation,,137.7,0.0,41.57
2023-09-27,INTC,Intel Corporation,,34.04,0.0,-0.04
2023-09-27,JPM,JPMorgan Chase & Co.,,142.2,0.0,59.21
2023-09-27,LLY,Eli Lilly and Company,,546.09,0.0,65.12
2023-09-27,LMT,Lockheed Martin Corporation,,397.95,0.0,59.1
2023-09-27,MCO,Moody's Corporation,,311.92,0.0,47.84
2023-09-27,MDLZ,"Mondelez International, Inc.",,68.3,0.0,25.31
2023-09-27,META,"Meta Platforms, Inc.",,296.85,0.0,84.08
2023-09-27,MMM,3M Company,,74.75,0.0,77.05
2023-09-27,MS,Morgan Stanley,,78.44,0.0,40.44
2023-09-27,MSFT,Microsoft Corporation,,310.46,0.0,42.25
2023-09-27,NKE,"NIKE, Inc.",,88.06,0.0,31.02
2023-09-27,NOW,"ServiceNow, Inc.",,546.38,0.0,53.09
2023-09-27,NVDA,NVIDIA Corporation,,42.46,0.0,97.78
2023-09-27,OXY,Occidental Petroleum Corporation,,64.64,0.0,26.87
2023-09-27,PANW,"Palo Alto Networks, Inc.",,231.9,0.0,53.6
2023-09-27,PEP,"PepsiCo, Inc.",,164.45,0.0,24.63
2023-09-27,PYPL,"PayPal Holdings, Inc.",,57.34,0.0,38.64
2023-09-27,RY,Royal Bank of Canada,,84.13,0.0,47.44
2023-09-27,SBUX,Starbucks Corporation,,88.91,0.0,36.84
2023-09-27,SHEL.L,Shell plc,,2513.15,0.0,39.15
2023-09-27,SO,The Southern Company,,63.68,0.0,51.5
2023-09-27,TDG,TransDigm Group Incorporated,,821.61,0.0,72.38
2023-09-27,TJX,"The TJX Companies, Inc.",,86.86,0.0,38.93
2023-09-27,TMUS,"T-Mobile US, Inc.",,137.56,0.0,51.26
2023-09-27,TSLA,"Tesla, Inc.",,240.5,0.0,37.09
2023-09-27,TT,Trane Technologies plc,,197.79,0.0,61.69
2023-09-27,UBS,UBS Group AG,,23.72,0.0,48.96
2023-09-27,UNP,Union Pacific Corporation,,198.05,0.0,43.44
2023-09-27,VZ,Verizon Communications Inc.,,30.21,0.0,45.19
2023-09-27,WMT,Walmart Inc.,,53.19,0.0,52.35
2023-09-28,AAPL,Apple Inc.,,169.82,0.001526,42.35
2023-09-28,ACN,Accenture plc,,295.99,-0.043292,15.36
2023-09-28,ADP,"Automatic Data Processing, Inc.",,237.87,0.002802,24.17
2023-09-28,AMAT,"Applied Materials, Inc.",,137.18,0.023397,46.84
2023-09-28,AMZN,"Amazon.com, Inc.",,125.98,0.0,61.12
2023-09-28,AVGO,Broadcom Inc.,,81.94,0.018597,80.39
2023-09-28,BA,The Boeing Company,,190.43,-0.025734,28.29
2023-09-28,BAC,Bank of America Corporation,,26.81,0.010634,54.83
2023-09-28,C,Citigroup Inc.,,39.56,0.01829,64.57
2023-09-28,CME,CME Group Inc.,,192.58,0.006488,31.52
2023-09-28,CSCO,"Cisco Systems, Inc.",,52.2,0.012782,15.32
2023-09-28,DIS,The Walt Disney Company,,79.5,0.002879,28.98
2023-09-28,ECL,Ecolab Inc.,,167.58,0.00834,47.8
2023-09-28,ETN,Eaton Corporation plc,,212.65,0.005458,42.46
2023-09-28,FCX,Freeport-McMoRan Inc.,,36.83,0.021341,50.8
2023-09-28,GE,GE Aerospace,,89.16,0.013076,90.21
2023-09-28,GILD,"Gilead Sciences, Inc.",,72.41,-0.001721,31.27
2023-09-28,GM,General Motors Company,,32.8,0.025039,57.12
2023-09-28,HON,Honeywell International Inc.,,183.02,-0.004098,36.8
2023-09-28,IBM,International Business Machines Corporation,,136.17,-0.011106,41.85
2023-09-28,INTC,Intel Corporation,,34.6,0.016469,-0.68
2023-09-28,JPM,JPMorgan Chase & Co.,,143.97,0.012416,58.83
2023-09-28,LLY,Eli Lilly and Company,,540.82,-0.009659,65.44
